"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6aHrmABARkuroPv9CNDmhS","Beachcombing","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:5s6TJEuHTr9GR894wc6VfP","Mark Knopfler, Emmylou Harris","spotify:album:6oGCz3d9MqAB6OVMUOLibu","All The Roadrunning","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:5s6TJEuHTr9GR894wc6VfP","Mark Knopfler, Emmylou Harris","2006-04-24","https://i.scdn.co/image/ab67616d0000b273638164cc8778088460142f81","1","1","254360",,"false","42","GBUM70600498","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:6zvJJLQdJuM81BDkBJDAh9","All The Roadrunning","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:5s6TJEuHTr9GR894wc6VfP","Mark Knopfler, Emmylou Harris","spotify:album:6oGCz3d9MqAB6OVMUOLibu","All The Roadrunning","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:5s6TJEuHTr9GR894wc6VfP","Mark Knopfler, Emmylou Harris","2006-04-24","https://i.scdn.co/image/ab67616d0000b273638164cc8778088460142f81","1","11","289226",,"false","43","GBF080500645","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:40riOy7x9W7GXjyGp4pjAv","Hotel California - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:2widuo17g5CEC66IbzveRu","Hotel California (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1976-12-08","https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778","1","1","391376","https://p.scdn.co/mp3-preview/6fedc11d0f55bef176cc1c5725ac1c57f9a2534a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USEE11300353","spotify:user:zfede97","2022-03-25T09:59:43Z"
"spotify:track:4yugZvBYaoREkJKtbG08Qr","Take It Easy - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:51B7LbLWgYLKBVSpkan8Z7","Eagles (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1972","https://i.scdn.co/image/ab67616d0000b273c13acd642ba9f6f5f127aa1b","1","1","211577","https://p.scdn.co/mp3-preview/4b32d39b05829f2c442aa869354f0f63cefcef24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USEE11300314","spotify:user:zfede97","2022-03-25T10:00:22Z"
"spotify:track:46MX86XQqYCZRvwPpeq4Gi","Lake Shore Drive","spotify:artist:4VmWYQQ5M9N9AiAx14v2yg","Aliotta Haynes Jeremiah","spotify:album:24NY6n4z0tDzpt8QCiWEGV","Lake Shore Drive","spotify:artist:4VmWYQQ5M9N9AiAx14v2yg","Aliotta Haynes Jeremiah","1972","https://i.scdn.co/image/ab67616d0000b273bfd869b5a775481785ce55ad","1","1","235173","https://p.scdn.co/mp3-preview/6613f85913f2794b417f31af93b8271a49e11709?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","uscgh0554198","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:57iDDD9N9tTWe75x6qhStw","Bitter Sweet Symphony","spotify:artist:2cGwlqi3k18jFpUyTrsR84","The Verve","spotify:album:52AeC4gwbxDfFlLHgK1ByD","Urban Hymns (Remastered 2016)","spotify:artist:2cGwlqi3k18jFpUyTrsR84","The Verve","1997-09-29","https://i.scdn.co/image/ab67616d0000b273707d13d3f87652e737e94d45","1","1","357266",,"false","78","GBUM71601816","spotify:user:zfede97","2022-03-25T10:06:49Z"
"spotify:track:7iN1s7xHE4ifF5povM6A48","Let It Be - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0jTGHV5xqHPvEcwL8f6YU5","Let It Be (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1970-05-08","https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1","1","6","243026",,"false","76","GBAYE0601713","spotify:user:zfede97","2022-03-25T10:08:22Z"
"spotify:track:0jWgAnTrNZmOGmqgvHhZEm","What's Up?","spotify:artist:0Je74SitssvJg1w4Ra2EK7","4 Non Blondes","spotify:album:2P8M5eo4zWFD0JJtH4D0iA","Bigger, Better, Faster, More !","spotify:artist:0Je74SitssvJg1w4Ra2EK7","4 Non Blondes","1992-01-01","https://i.scdn.co/image/ab67616d0000b273381371cb8ce680d0dc324600","1","3","295533",,"false","79","USIR19200553","spotify:user:zfede97","2022-03-25T10:09:02Z"
"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Everybody Wants To Rule The World","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","spotify:album:3myPwaMYjdwhtq0nFgeG6W","Songs From The Big Chair (Super Deluxe Edition)","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","1985-02-25","https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235","1","3","251488",,"false","85","GBF088590110","spotify:user:zfede97","2022-03-25T10:10:06Z"
"spotify:track:4JiEyzf0Md7KEFFGWDDdCr","Knockin' On Heaven's Door","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:00eiw4KOJZ7eC3NBEpmH4C","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b27392d21aef6c0d288cc4c05973","1","4","336000",,"false","77","USGF19142004","spotify:user:zfede97","2022-03-25T10:14:06Z"
